"Source:","/home/graham/Projects/preamp-2019/input_output_board/input_output_board.sch"
"Date:","Tue 01 Oct 2019 08:27:54 AM EDT"
"Tool:","Eeschema 5.1.4"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","19"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Distributor","Distributor PN","Manufacturer","Manufacturer PN","URL","Unit Price"
"","","D1","MRA4004T3G","Device:D","Diode_SMD:D_SMA","http://www.onsemi.com/pub_link/Collateral/MRA4003T3-D.PDF","Digikey","MRA4004T3GOSCT-ND","On Semiconductor","MRA4004T3G","https://www.digikey.com/products/en/discrete-semiconductor-products/diodes-rectifiers-single/280?k=MRA4004T3G&k=&pkeyword=MRA4004T3G&sv=0&pv7=2&sf=0&quantity=&ColumnSort=0&page=1&pageSize=25","0.29"
"","","D2","MRA4004T3G","Device:D","Diode_SMD:D_SMA","http://www.onsemi.com/pub_link/Collateral/MRA4003T3-D.PDF","Digikey","MRA4004T3GOSCT-ND","On Semiconductor","MRA4004T3G","https://www.digikey.com/products/en/discrete-semiconductor-products/diodes-rectifiers-single/280?k=MRA4004T3G&k=&pkeyword=MRA4004T3G&sv=0&pv7=2&sf=0&quantity=&ColumnSort=0&page=1&pageSize=25","0.29"
"","","D3","MRA4004T3G","Device:D","Diode_SMD:D_SMA","http://www.onsemi.com/pub_link/Collateral/MRA4003T3-D.PDF","Digikey","MRA4004T3GOSCT-ND","On Semiconductor","MRA4004T3G","https://www.digikey.com/products/en/discrete-semiconductor-products/diodes-rectifiers-single/280?k=MRA4004T3G&k=&pkeyword=MRA4004T3G&sv=0&pv7=2&sf=0&quantity=&ColumnSort=0&page=1&pageSize=25","0.29"
"","","D4","MRA4004T3G","Device:D","Diode_SMD:D_SMA","http://www.onsemi.com/pub_link/Collateral/MRA4003T3-D.PDF","Digikey","MRA4004T3GOSCT-ND","On Semiconductor","MRA4004T3G","https://www.digikey.com/products/en/discrete-semiconductor-products/diodes-rectifiers-single/280?k=MRA4004T3G&k=&pkeyword=MRA4004T3G&sv=0&pv7=2&sf=0&quantity=&ColumnSort=0&page=1&pageSize=25","0.29"
"","","D5","MRA4004T3G","Device:D","Diode_SMD:D_SMA","http://www.onsemi.com/pub_link/Collateral/MRA4003T3-D.PDF","Digikey","MRA4004T3GOSCT-ND","On Semiconductor","MRA4004T3G","https://www.digikey.com/products/en/discrete-semiconductor-products/diodes-rectifiers-single/280?k=MRA4004T3G&k=&pkeyword=MRA4004T3G&sv=0&pv7=2&sf=0&quantity=&ColumnSort=0&page=1&pageSize=25","0.29"
"","","J1","Neutrik_NCJ6FA-H-0","Connector_gkeeth:Neutrik_NCJ6FA-H-0","Connector_Audio_project:Jack_XLR-6.35mm_Neutrik_NCJ6FA-H-0_Horizontal","https://www.neutrik.us/en-us/product/ncj6fa-h-0","Mouser","568-NCJ6FA-H-0","Neutrik","NCJ6FA-H-0","https://www.mouser.com/ProductDetail/Neutrik/NCJ6FA-H-0?qs=sGAEpiMZZMv0W4pxf2HiVz0kF5fvPbmUN84Qkb8AgIM%3D","2.14"
"","","J2","Neutrik_NCJ6FA-H-0","Connector_gkeeth:Neutrik_NCJ6FA-H-0","Connector_Audio_project:Jack_XLR-6.35mm_Neutrik_NCJ6FA-H-0_Horizontal","https://www.neutrik.us/en-us/product/ncj6fa-h-0","Mouser","568-NCJ6FA-H-0","Neutrik","NCJ6FA-H-0","https://www.mouser.com/ProductDetail/Neutrik/NCJ6FA-H-0?qs=sGAEpiMZZMv0W4pxf2HiVz0kF5fvPbmUN84Qkb8AgIM%3D","2.14"
"","","J3","Neutrik_NCJ6FA-H-0","Connector_gkeeth:Neutrik_NCJ6FA-H-0","Connector_Audio_project:Jack_XLR-6.35mm_Neutrik_NCJ6FA-H-0_Horizontal","https://www.neutrik.us/en-us/product/ncj6fa-h-0","Mouser","568-NCJ6FA-H-0","Neutrik","NCJ6FA-H-0","https://www.mouser.com/ProductDetail/Neutrik/NCJ6FA-H-0?qs=sGAEpiMZZMv0W4pxf2HiVz0kF5fvPbmUN84Qkb8AgIM%3D","2.14"
"","","J4","Neutrik_NCJ6FA-H-0","Connector_gkeeth:Neutrik_NCJ6FA-H-0","Connector_Audio_project:Jack_XLR-6.35mm_Neutrik_NCJ6FA-H-0_Horizontal","https://www.neutrik.us/en-us/product/ncj6fa-h-0","Mouser","568-NCJ6FA-H-0","Neutrik","NCJ6FA-H-0","https://www.mouser.com/ProductDetail/Neutrik/NCJ6FA-H-0?qs=sGAEpiMZZMv0W4pxf2HiVz0kF5fvPbmUN84Qkb8AgIM%3D","2.14"
"","","J5","Neutrik_NC3MAH","Connector_gkeeth:Neutrik_NC3MAH","Connector_Audio_project:Jack_XLR_Neutrik_NC3MAH_Horizontal","https://www.neutrik.us/en-us/product/nc3mah","Mouser","568-NC3MAH","Neutrik","NC3MAH","https://www.mouser.com/ProductDetail/Neutrik/NC3MAH?qs=sGAEpiMZZMv0W4pxf2HiV0%252BKdhvD8lQRNSjbmflhq7A%3D","1.25"
